run_id,chunk_id,chunk_key,seq_len,token_start,token_end,chunk_len_tokens,layer_start,layer_end,chunk_total_bytes,split_strategy
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=0|le=2,7490,512,0,32,32,0,2,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=2|le=4,3785,512,0,32,32,2,4,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=4|le=6,17789,512,0,32,32,4,6,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=6|le=8,62223,512,0,32,32,6,8,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=8|le=10,42847,512,0,32,32,8,10,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=10|le=12,17267,512,0,32,32,10,12,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=12|le=14,50540,512,0,32,32,12,14,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=14|le=16,5218,512,0,32,32,14,16,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=16|le=18,32447,512,0,32,32,16,18,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=18|le=20,18349,512,0,32,32,18,20,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=0|te=32|ls=20|le=22,44362,512,0,32,32,20,22,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=0|le=2,28203,512,32,64,32,0,2,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=2|le=4,32555,512,32,64,32,2,4,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=4|le=6,32343,512,32,64,32,4,6,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=6|le=8,49954,512,32,64,32,6,8,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=8|le=10,18872,512,32,64,32,8,10,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=10|le=12,7132,512,32,64,32,10,12,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=12|le=14,42250,512,32,64,32,12,14,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=14|le=16,50327,512,32,64,32,14,16,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=16|le=18,2304,512,32,64,32,16,18,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=18|le=20,46154,512,32,64,32,18,20,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=32|te=64|ls=20|le=22,23620,512,32,64,32,20,22,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=0|le=2,13588,512,64,96,32,0,2,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=2|le=4,23039,512,64,96,32,2,4,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=4|le=6,27137,512,64,96,32,4,6,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=6|le=8,54486,512,64,96,32,6,8,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=8|le=10,38491,512,64,96,32,8,10,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=10|le=12,24020,512,64,96,32,10,12,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=12|le=14,35749,512,64,96,32,12,14,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=14|le=16,13858,512,64,96,32,14,16,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=16|le=18,18144,512,64,96,32,16,18,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=18|le=20,6227,512,64,96,32,18,20,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=64|te=96|ls=20|le=22,42119,512,64,96,32,20,22,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=0|le=2,15661,512,96,128,32,0,2,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=2|le=4,18596,512,96,128,32,2,4,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=4|le=6,35096,512,96,128,32,4,6,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=6|le=8,51893,512,96,128,32,6,8,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=8|le=10,28208,512,96,128,32,8,10,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=10|le=12,17062,512,96,128,32,10,12,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=12|le=14,16200,512,96,128,32,12,14,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=14|le=16,64376,512,96,128,32,14,16,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=16|le=18,35932,512,96,128,32,16,18,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=18|le=20,19902,512,96,128,32,18,20,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=96|te=128|ls=20|le=22,49917,512,96,128,32,20,22,131072,token_layer_group
run_00000,m=tinyllama|l=512|s=token_layer_group|tb=32|lg=2|ts=128|te=160|ls=0|le=2,45762,512,128,160,32,0,2,131072,token_layer_group
